[PARAMETERS]
TAU=34u
NS=32
NSC=32
FR=25.9800011
D1=3u
D2=3u
[ADDITIONAL]
File Name=Data2
4.8125 -2.96875
7.625 -4.21875
6.53125 -2.65625
14.0 9.375
-10.78125 -2.8125
-1.3125 1.53125
-0.78125 19.28125
2.75 1.0625
4.28125 -0.8125
-1.40625 0.625
-10.1875 10.15625
1.4375 1.71875
10.125 9.375
-1.78125 6.6875
2.1875 -2.9375
-5.875 -9.28125
-1.0625 -17.78125
8.75 -0.8125
0.375 5.1875
3.125 -5.84375
12.78125 -2.375
11.5 12.59375
2.65625 14.34375
-4.125 -0.875
0.5625 -3.0625
-0.09375 -0.6875
-10.90625 -2.65625
-0.09375 -8.40625
3.0625 0.3125
5.375 -0.25
11.96875 8.34375
1.5 2.5625
6.65625 -3.71875
-3.6875 3.5
-1.0 -0.75
-6.9375 6.8125
-11.9375 -2.375
-5.375 8.375
-8.46875 7.15625
-1.78125 7.53125
1.4375 22.21875
3.375 -6.84375
4.125 -8.65625
4.09375 -6.0
13.03125 4.40625
1.6875 -1.96875
1.5625 1.78125
-0.375 1.90625
1.8125 -9.6875
-1.1875 -2.65625
-18.84375 -0.1875
-4.875 -2.75
3.90625 1.375
-3.875 0.3125
-9.40625 -8.40625
-1.28125 -3.53125
-0.25 6.03125
7.15625 14.5
-2.1875 7.96875
-10.96875 0.875
-11.15625 2.75
4.9375 -8.96875
7.6875 -6.5
-9.9375 12.4375
-6.1875 10.125
-7.53125 7.40625
-4.96875 -2.4375
9.78125 1.75
-2.46875 1.59375
-4.0625 -6.28125
0.40625 6.625
-10.59375 2.90625
-6.84375 -6.65625
0.40625 0.46875
-1.5 8.90625
6.3125 2.5625
10.09375 -2.46875
3.96875 6.875
2.0 4.46875
8.09375 3.03125
5.40625 14.78125
-5.75 0.3125
9.28125 -23.0625
5.59375 -0.84375
-11.28125 12.90625
-9.25 11.5625
-9.59375 6.21875
5.125 -4.15625
-1.5625 10.15625
-13.0 -8.75
-1.0 16.34375
-13.125 15.4375
5.5 -9.65625
3.53125 0.96875
-0.3125 3.40625
-0.75 -16.25
8.34375 -10.78125
5.25 6.96875
3.375 -5.75
-1.875 -4.8125
3.28125 6.3125
-0.0625 4.46875
-3.9375 -4.15625
4.21875 2.3125
-1.25 1.6875
-6.46875 -3.15625
-2.1875 8.3125
5.78125 7.6875
5.1875 7.71875
2.78125 6.90625
-3.25 -0.6875
6.375 -5.1875
13.1875 -4.90625
-0.4375 -4.96875
1.3125 -1.53125
9.4375 -2.71875
7.8125 -15.03125
7.46875 -11.0
6.59375 9.6875
-4.25 2.75
-3.5625 0.71875
-10.8125 -9.53125
8.3125 -3.34375
17.5625 7.625
2.1875 -0.21875
-5.90625 -1.0
-4.5 0.78125
2.03125 5.8125
-17.375 -1.84375
-1.40625 -3.3125
19.03125 2.15625
11.5625 3.0
-2.6875 -10.875
8.3125 -10.1875
5.96875 -3.40625
-2.6875 -3.28125
-6.4375 0.84375
-7.34375 10.15625
-13.34375 -2.875
4.65625 -9.125
6.21875 5.75
-4.875 -0.34375
-4.5 -4.78125
-3.3125 1.09375
3.09375 1.15625
4.1875 13.65625
-1.625 15.25
-2.0625 2.3125
-3.0625 -2.34375
-1.4375 -2.21875
3.09375 -6.8125
-0.15625 -3.9375
-4.59375 1.78125
0.5625 -3.25
8.4375 -0.4375
5.9375 1.625
-2.3125 -10.0
4.84375 0.8125
4.46875 5.875
1.96875 3.90625
1.6875 5.78125
5.9375 9.625
-0.8125 11.8125
7.46875 8.28125
7.875 17.21875
-6.625 1.09375
8.0 2.1875
0.71875 5.9375
0.5625 -1.53125
3.53125 0.71875
-2.6875 -4.21875
-0.375 -0.25
10.78125 3.78125
5.46875 -5.0
-9.96875 -3.375
-6.0 0.53125
5.03125 5.46875
-4.53125 -2.28125
-2.0 -2.5625
1.96875 0.0
5.125 -3.1875
5.6875 1.4375
0.96875 -3.21875
8.21875 -6.0625
5.25 -7.125
6.1875 -11.0625
6.21875 6.375
2.65625 6.09375
-2.0625 -1.84375
2.03125 1.1875
2.0625 3.84375
1.0625 0.5
-6.4375 5.8125
-11.65625 1.0625
-4.6875 -5.5
-7.28125 -1.15625
-3.1875 -11.125
5.125 -11.0625
1.90625 -5.1875
-0.03125 -3.78125
0.25 -8.8125
14.21875 5.8125
6.0625 15.65625
-1.28125 -10.34375
14.25 0.25
9.875 19.0
1.3125 11.78125
-1.75 5.9375
-5.84375 -6.53125
-8.34375 -1.625
-6.59375 1.125
-4.3125 7.90625
-1.53125 8.9375
-2.375 4.875
-5.375 2.5625
-0.5 -6.9375
1.34375 2.90625
-6.53125 6.1875
6.5 -1.875
-2.34375 -9.3125
-1.375 -0.21875
0.15625 4.0625
9.40625 -2.9375
0.4375 2.96875
1.75 -6.625
1.28125 4.28125
-7.78125 8.375
-3.71875 5.125
-3.90625 2.5625
-2.09375 -1.65625
-0.78125 -5.6875
-3.1875 1.71875
-4.59375 0.4375
-4.1875 -4.71875
-1.15625 -3.59375
-9.25 12.46875
-16.84375 1.4375
-5.40625 -7.96875
-11.25 2.625
-1.75 5.5
0.28125 1.09375
-13.0 -11.0625
3.71875 -5.875
-2.3125 7.8125
-8.03125 6.28125
-20.25 10.5625
-3.0625 9.5
-2.96875 3.09375
-12.71875 -9.90625
-9.34375 0.8125
-7.0625 11.34375
6.96875 -0.71875
14.9375 -4.1875
4.59375 -14.4375
2.125 -0.15625
-7.4375 9.65625
-7.28125 5.09375
-5.75 2.78125
0.0625 6.84375
4.75 4.90625
-2.125 5.0
-5.1875 -2.3125
-3.46875 -4.4375
-0.125 4.53125
2.3125 3.8125
5.875 -1.0
-1.5625 0.0625
6.9375 10.3125
3.21875 15.875
-2.4375 -0.15625
-6.84375 -0.15625
-9.96875 -0.96875
-6.15625 3.5
-6.1875 10.0625
-2.28125 4.40625
-1.0 -2.34375
-1.21875 0.4375
7.375 -13.59375
1.0625 -6.6875
-3.96875 -6.34375
-5.53125 -7.25
-5.90625 -10.25
-8.03125 -9.5
6.53125 -19.9375
16.90625 -10.8125
-2.625 -6.9375
-6.78125 -6.0
6.34375 6.5
7.28125 6.34375
8.96875 -17.125
1.28125 -5.34375
-7.0625 -2.0625
11.5625 -3.0625
9.25 9.875
11.03125 -1.375
9.25 0.0625
-10.90625 3.625
-1.0625 -5.9375
8.3125 -1.84375
2.3125 -0.46875
1.9375 1.40625
3.8125 1.5
-3.375 -3.8125
-0.5 -10.34375
-2.5625 -5.21875
-6.71875 -8.9375
-0.375 3.1875
-5.40625 2.125
3.75 -1.59375
2.375 3.75
-4.84375 4.9375
2.84375 -5.8125
12.90625 -7.625
9.28125 -2.34375
2.8125 3.21875
-7.4375 -6.25
-4.59375 -15.53125
-1.96875 -17.125
-5.03125 -2.9375
-8.625 -2.375
3.4375 -4.96875
2.21875 -9.34375
1.46875 4.28125
-11.0 8.28125
2.125 -7.71875
-12.84375 -0.90625
-8.34375 2.59375
7.96875 -2.1875
12.625 -1.21875
3.15625 12.84375
-4.75 -4.21875
-2.25 -7.8125
-0.03125 2.09375
-3.0 7.96875
-4.21875 -9.75
6.28125 -1.8125
-5.6875 11.625
-5.5625 -3.9375
-5.875 -2.21875
3.40625 -7.8125
6.09375 -3.875
2.5 3.90625
4.71875 9.15625
0.0625 3.78125
-1.46875 -0.03125
-7.5625 1.53125
-0.6875 0.84375
8.40625 -4.25
2.71875 -5.0
-3.65625 -2.3125
-3.90625 7.34375
-4.65625 0.03125
1.46875 -5.5
1.5 -3.40625
-5.5 1.71875
0.78125 -1.65625
5.71875 -3.53125
9.84375 0.78125
1.28125 7.53125
-4.8125 5.5625
-3.5 4.28125
-2.8125 -8.34375
8.5 4.4375
3.65625 -2.40625
6.40625 -3.0
-8.40625 12.875
2.15625 -11.9375
13.8125 -1.3125
3.625 15.15625
-2.15625 7.125
-5.34375 -5.09375
-0.59375 0.25
-4.03125 1.46875
-2.5 -4.4375
3.5625 5.65625
-3.34375 7.625
-13.25 7.78125
-4.9375 3.25
0.15625 4.03125
-7.15625 3.65625
-3.28125 -4.625
-0.34375 6.125
-0.6875 -6.625
5.5 -9.375
1.1875 -9.5625
4.78125 -5.84375
6.03125 5.5
-4.0625 9.03125
1.125 3.53125
2.875 5.875
-2.78125 -2.125
-2.46875 2.84375
-1.8125 13.21875
-9.4375 7.125
-4.34375 4.53125
1.4375 -0.125
3.78125 3.53125
3.125 6.96875
-5.90625 8.15625
-10.34375 2.5
5.75 2.21875
-6.21875 5.5625
-10.40625 1.71875
-5.34375 -13.4375
10.59375 -7.34375
-13.25 6.21875
-9.53125 -14.78125
11.15625 -4.84375
4.875 6.65625
-0.03125 1.78125
-4.90625 8.53125
2.21875 -7.1875
8.59375 2.0
-8.0 -0.8125
1.59375 -5.1875
0.0 0.0
0.0 0.0
0.0 0.0
